2026/03/13 09:50:57.914562 [09:50:57.914] SYNC  LLANOS: 660/840 (78%) | sid=3d2c3674
2026/03/13 09:50:59.133977 [09:50:59.133] SYNC  LLANOS: 665/840 (79%) | sid=3d2c3674
2026/03/13 09:51:00.334215 [09:51:00.334] SYNC  LLANOS: 670/840 (79%) | sid=3d2c3674
2026/03/13 09:51:01.294718 [09:51:01.294] SYNC  LLANOS: 675/840 (80%) | sid=3d2c3674
2026/03/13 09:51:02.414750 [09:51:02.414] SYNC  LLANOS: 680/840 (80%) | sid=3d2c3674
2026/03/13 09:51:03.594376 [09:51:03.594] SYNC  LLANOS: 685/840 (81%) | sid=3d2c3674
2026/03/13 09:51:04.794412 [09:51:04.794] SYNC  LLANOS: 690/840 (82%) | sid=3d2c3674
2026/03/13 09:51:05.993891 [09:51:05.993] SYNC  LLANOS: 695/840 (82%) | sid=3d2c3674
2026/03/13 09:51:07.073773 [09:51:07.073] SYNC  LLANOS: 700/840 (83%) | sid=3d2c3674
2026/03/13 09:51:08.072965 [09:51:08.072] SYNC  LLANOS: 705/840 (83%) | sid=3d2c3674
2026/03/13 09:51:09.274166 [09:51:09.274] SYNC  LLANOS: 710/840 (84%) | sid=3d2c3674
2026/03/13 09:51:11.134797 [09:51:11.134] SYNC  LLANOS: 715/840 (85%) | sid=3d2c3674
2026/03/13 09:51:12.353172 [09:51:12.353] SYNC  LLANOS: 720/840 (85%) | sid=3d2c3674
2026/03/13 09:51:13.341529 [09:51:13.341] SYNC  LLANOS: 725/840 (86%) | sid=3d2c3674
2026/03/13 09:51:14.268223 [09:51:14.268] SYNC  LLANOS: 730/840 (86%) | sid=3d2c3674
2026/03/13 09:51:15.441826 [09:51:15.441] SYNC  LLANOS: 735/840 (87%) | sid=3d2c3674
2026/03/13 09:51:16.634232 [09:51:16.634] SYNC  LLANOS: 740/840 (88%) | sid=3d2c3674
2026/03/13 09:51:17.753891 [09:51:17.753] SYNC  LLANOS: 745/840 (88%) | sid=3d2c3674
2026/03/13 09:51:18.873700 [09:51:18.873] SYNC  LLANOS: 750/840 (89%) | sid=3d2c3674
2026/03/13 09:51:20.092576 [09:51:20.092] SYNC  LLANOS: 755/840 (89%) | sid=3d2c3674
2026/03/13 09:51:21.136673 [09:51:21.136] SYNC  LLANOS: 760/840 (90%) | sid=3d2c3674
2026/03/13 09:51:22.332034 [09:51:22.332] SYNC  LLANOS: 765/840 (91%) | sid=3d2c3674
2026/03/13 09:51:23.452370 [09:51:23.452] SYNC  LLANOS: 770/840 (91%) | sid=3d2c3674
2026/03/13 09:51:24.553497 [09:51:24.553] SYNC  LLANOS: 775/840 (92%) | sid=3d2c3674
2026/03/13 09:51:25.621291 [09:51:25.621] SYNC  LLANOS: 780/840 (92%) | sid=3d2c3674
2026/03/13 09:51:26.792474 [09:51:26.792] SYNC  LLANOS: 785/840 (93%) | sid=3d2c3674
2026/03/13 09:51:27.992197 [09:51:27.992] SYNC  LLANOS: 790/840 (94%) | sid=3d2c3674
2026/03/13 09:51:29.032698 [09:51:29.032] SYNC  LLANOS: 795/840 (94%) | sid=3d2c3674
2026/03/13 09:51:30.173071 [09:51:30.173] SYNC  LLANOS: 800/840 (95%) | sid=3d2c3674
2026/03/13 09:51:31.372186 [09:51:31.372] SYNC  LLANOS: 805/840 (95%) | sid=3d2c3674
2026/03/13 09:51:32.345293 [09:51:32.345] SYNC  LLANOS: 810/840 (96%) | sid=3d2c3674
2026/03/13 09:51:33.380287 [09:51:33.380] SYNC  LLANOS: 815/840 (97%) | sid=3d2c3674
2026/03/13 09:51:34.553265 [09:51:34.553] SYNC  LLANOS: 820/840 (97%) | sid=3d2c3674
2026/03/13 09:51:35.752266 [09:51:35.752] SYNC  LLANOS: 825/840 (98%) | sid=3d2c3674
2026/03/13 09:51:36.872631 [09:51:36.872] SYNC  LLANOS: 830/840 (98%) | sid=3d2c3674
2026/03/13 09:51:38.072699 [09:51:38.072] SYNC  LLANOS: 835/840 (99%) | sid=3d2c3674
2026/03/13 09:51:39.032044 [09:51:39.032] SYNC  LLANOS: 840/840 (100%) | sid=3d2c3674
2026/03/13 09:51:39.043946 [09:51:39.043] INFO  Sync: LLANOS (199335 ms) — 0 registros hist. — 840 nuevos, ptr=0 | sid=3d2c3674
2026/03/13 09:51:39.044456 [09:51:39.044] INFO  Conexión cerrada | sid=3d2c3674
2026/03/13 09:51:39.044456 [09:51:39.044] INFO  Sync global completado — 1 tarea(s) | sid=3d2c3674
